id,key,value,type
219968,ref,73B,regular
219968,highway,motorway_junction,regular
698844,ref,83,regular
698844,highway,motorway_junction,regular
699232,ref,77A,regular
699232,highway,motorway_junction,regular
699641,ref,72A,regular
699641,highway,motorway_junction,regular
699684,name,Zablocki Library,regular
699684,amenity,library,regular
699684,created_by,Potlatch 0.10f,regular
703315,ref,93,regular
703315,highway,motorway_junction,regular
19773280,source,PGS,regular
19773285,source,PGS,regular
19774171,source,PGS,regular
19774172,source,PGS,regular
19774173,source,PGS,regular
19774176,source,PGS,regular
19774177,source,PGS,regular
19774178,source,PGS,regular
19774182,source,PGS,regular
19774185,source,PGS,regular
19774192,source,PGS,regular
19774196,source,PGS,regular
19774198,source,PGS,regular
19774199,source,PGS,regular
19774209,source,PGS,regular
19774210,source,PGS,regular
19774211,source,PGS,regular
19774213,source,PGS,regular
19774214,source,PGS,regular
19774215,source,PGS,regular
19774216,source,PGS,regular
19774217,source,PGS,regular
19774218,source,PGS,regular
19774248,source,PGS,regular
19774267,source,PGS,regular
19774290,source,PGS,regular
19774291,source,PGS,regular
19774293,source,PGS,regular
19774294,source,PGS,regular
19774295,source,PGS,regular
19774296,source,PGS,regular
19774297,source,PGS,regular
19774298,source,PGS,regular
19774299,source,PGS,regular
19775924,source,PGS,regular
19775925,source,PGS,regular
19775926,source,PGS,regular
19775927,source,PGS,regular
19775928,source,PGS,regular
19775929,source,PGS,regular
19775930,source,PGS,regular
19775931,source,PGS,regular
19775932,source,PGS,regular
19775933,source,PGS,regular
19775934,source,PGS,regular
19775935,source,PGS,regular
19775936,source,PGS,regular
19775943,source,PGS,regular
19775947,source,PGS,regular
19775962,source,PGS,regular
19776056,source,PGS,regular
19776155,source,PGS,regular
19780394,source,PGS,regular
19780394,created_by,r_coastlines,regular
19780476,source,PGS,regular
19780476,created_by,r_coastlines,regular
19780477,source,PGS,regular
19780477,created_by,r_coastlines,regular
19780478,source,PGS,regular
19780478,created_by,r_coastlines,regular
19780479,source,PGS,regular
19780479,created_by,r_coastlines,regular
19780480,source,PGS,regular
19780480,created_by,r_coastlines,regular
19780481,source,PGS,regular
19780481,created_by,r_coastlines,regular
19780482,source,PGS,regular
19780482,created_by,r_coastlines,regular
19780483,source,PGS,regular
19780483,created_by,r_coastlines,regular
19780484,source,PGS,regular
19780484,created_by,r_coastlines,regular
19780485,source,PGS,regular
19780485,created_by,r_coastlines,regular
19780486,source,PGS,regular
19780486,created_by,r_coastlines,regular
19780487,source,PGS,regular
19780487,created_by,r_coastlines,regular
19780488,source,PGS,regular
19780488,created_by,r_coastlines,regular
19780489,source,PGS,regular
19780489,created_by,r_coastlines,regular
19780490,source,PGS,regular
19780490,created_by,r_coastlines,regular
19780491,source,PGS,regular
19780491,created_by,r_coastlines,regular
19780492,source,PGS,regular
19780492,created_by,r_coastlines,regular
19780493,source,PGS,regular
19780493,created_by,r_coastlines,regular
19780494,source,PGS,regular
19780494,created_by,r_coastlines,regular
19780495,source,PGS,regular
19780495,created_by,r_coastlines,regular
19780496,source,PGS,regular
19780496,created_by,r_coastlines,regular
