,year, month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct, weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted, arr_delay, carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,lat,long,is_hub
6,2003,6,AA,American Airlines,BNA,"Nashville, TN: Nashville International",445.0,82.0,25.44,11.98,17.9,0.03,26.65,2.0,0.0,4663.0,1217.0,913.0,800.0,1.0,1732.0,36.12447667,-86.67818222,1
11,2003,6,AA,American Airlines,CLT,"Charlotte, NC: Charlotte Douglas International",203.0,48.0,16.57,9.72,10.07,1.87,9.76,4.0,0.0,3048.0,968.0,742.0,558.0,127.0,653.0,35.21401111,-80.94312583,1
15,2003,6,AA,American Airlines,DCA,"Washington, DC: Ronald Reagan Washington National",947.0,147.0,42.88,24.89,52.71,0.08,26.44,5.0,2.0,7868.0,2048.0,1484.0,2767.0,3.0,1566.0,38.85208333,-77.03772222,1
17,2003,6,AA,American Airlines,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",12276.0,2144.0,392.85,66.72,1070.37,13.55,600.51,153.0,66.0,117195.0,31999.0,4787.0,43864.0,459.0,36086.0,32.89595056,-97.0372,1
35,2003,6,AA,American Airlines,JFK,"New York, NY: John F. Kennedy International",1147.0,212.0,60.92,14.66,95.21,6.86,34.35,5.0,4.0,10785.0,3496.0,1157.0,3596.0,203.0,2333.0,40.63975111,-73.77892556,1
38,2003,6,AA,American Airlines,LAX,"Los Angeles, CA: Los Angeles International",2462.0,533.0,155.25,43.58,223.6,3.75,106.82,9.0,1.0,27823.0,9761.0,2863.0,7404.0,124.0,7671.0,33.94253611,-118.4080744,1
48,2003,6,AA,American Airlines,MIA,"Miami, FL: Miami International",3120.0,723.0,146.14,53.18,390.58,1.84,131.26,20.0,13.0,35978.0,7978.0,3083.0,16535.0,66.0,8316.0,25.79325,-80.29055556,1
56,2003,6,AA,American Airlines,ORD,"Chicago, IL: Chicago O'Hare International",7628.0,1309.0,225.53,48.83,763.26,9.15,262.23,41.0,14.0,72172.0,19608.0,3440.0,34502.0,403.0,14219.0,41.979595,-87.90446417,1
60,2003,6,AA,American Airlines,PHL,"Philadelphia, PA: Philadelphia International",759.0,151.0,42.26,12.31,75.66,0.51,20.26,7.0,1.0,7949.0,2256.0,798.0,3559.0,21.0,1315.0,39.87195278,-75.24114083,1
61,2003,6,AA,American Airlines,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",474.0,105.0,30.07,13.12,44.18,0.5,17.12,2.0,0.0,4503.0,1405.0,794.0,1349.0,13.0,942.0,33.43416667,-112.0080556,1
65,2003,6,AA,American Airlines,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",522.0,81.0,23.56,14.31,25.64,0.47,17.02,2.0,0.0,4389.0,1163.0,1006.0,1086.0,7.0,1127.0,35.87763889,-78.78747222,1
80,2003,6,AA,American Airlines,STL,"St. Louis, MO: Lambert-St. Louis International",5984.0,845.0,207.93,46.01,429.4,4.62,157.03,27.0,27.0,48057.0,16596.0,2798.0,16924.0,114.0,11625.0,38.74768694,-90.35998972,1
90,2003,6,AS,Alaska Airlines,ANC,"Anchorage, AK: Ted Stevens Anchorage International",1624.0,258.0,101.84,2.22,36.52,9.18,108.23,45.0,1.0,10653.0,4332.0,179.0,962.0,229.0,4951.0,61.17432028,-149.9961856,1
109,2003,6,AS,Alaska Airlines,LAX,"Los Angeles, CA: Los Angeles International",704.0,62.0,34.1,0.0,4.77,0.0,23.13,14.0,0.0,2407.0,1536.0,0.0,107.0,0.0,764.0,33.94253611,-118.4080744,1
117,2003,6,AS,Alaska Airlines,PDX,"Portland, OR: Portland International",1287.0,213.0,53.71,1.39,66.47,5.91,85.51,12.0,0.0,8521.0,2267.0,89.0,1719.0,146.0,4300.0,45.58872222,-122.5975,1
124,2003,6,AS,Alaska Airlines,SEA,"Seattle, WA: Seattle/Tacoma International",4267.0,740.0,192.59,4.07,208.83,22.77,311.73,58.0,8.0,33252.0,11009.0,212.0,5851.0,720.0,15460.0,47.44898194,-122.3093131,1
137,2003,6,B6,JetBlue Airways,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",401.0,72.0,35.26,2.18,20.54,2.12,11.91,0.0,1.0,3794.0,2152.0,137.0,797.0,54.0,654.0,26.07258333,-80.15275,1
139,2003,6,B6,JetBlue Airways,JFK,"New York, NY: John F. Kennedy International",2040.0,344.0,145.67,3.02,88.07,12.36,94.87,0.0,4.0,18338.0,9995.0,103.0,3602.0,316.0,4322.0,40.63975111,-73.77892556,1
324,2003,6,DL,Delta Air Lines,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",15676.0,2660.0,444.42,81.77,1646.19,3.91,483.71,69.0,12.0,113870.0,25938.0,3906.0,58002.0,143.0,25881.0,33.64044444,-84.42694444,1
331,2003,6,DL,Delta Air Lines,BOS,"Boston, MA: Logan International",1460.0,153.0,33.95,5.46,91.67,0.51,21.42,7.0,0.0,4868.0,1295.0,275.0,2481.0,34.0,783.0,42.3643475,-71.00517917,1
341,2003,6,DL,Delta Air Lines,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",4209.0,609.0,140.17,8.55,326.94,0.0,133.33,17.0,5.0,26238.0,7853.0,436.0,9866.0,0.0,8083.0,39.04614278,-84.6621725,1
346,2003,6,DL,Delta Air Lines,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1787.0,364.0,78.41,8.95,215.27,1.0,60.36,4.0,11.0,14145.0,3170.0,614.0,6826.0,128.0,3407.0,32.89595056,-97.0372,1
347,2003,6,DL,Delta Air Lines,DTW,"Detroit, MI: Detroit Metro Wayne County",206.0,33.0,12.84,0.05,14.04,0.0,6.06,3.0,0.0,1169.0,438.0,2.0,397.0,0.0,332.0,42.21205889,-83.34883583,1
366,2003,6,DL,Delta Air Lines,JFK,"New York, NY: John F. Kennedy International",835.0,132.0,30.38,3.17,79.89,0.94,17.63,0.0,0.0,4994.0,1181.0,136.0,2711.0,32.0,934.0,40.63975111,-73.77892556,1
368,2003,6,DL,Delta Air Lines,LAX,"Los Angeles, CA: Los Angeles International",1077.0,288.0,89.16,8.31,148.79,0.0,41.74,1.0,0.0,9772.0,3230.0,374.0,4243.0,0.0,1925.0,33.94253611,-118.4080744,1
370,2003,6,DL,Delta Air Lines,LGA,"New York, NY: LaGuardia",1937.0,255.0,47.85,4.23,162.52,2.0,38.41,23.0,3.0,12171.0,2782.0,186.0,7003.0,154.0,2046.0,40.77724306,-73.87260917,1
375,2003,6,DL,Delta Air Lines,MEM,"Memphis, TN: Memphis International",232.0,36.0,9.06,0.0,22.11,0.0,4.83,1.0,0.0,1304.0,349.0,0.0,760.0,0.0,195.0,35.04241667,-89.97666667,1
382,2003,6,DL,Delta Air Lines,MSP,"Minneapolis, MN: Minneapolis-St Paul International",317.0,73.0,22.23,0.0,40.33,0.0,10.44,0.0,0.0,2261.0,809.0,0.0,986.0,0.0,466.0,44.88054694,-93.2169225,1
389,2003,6,DL,Delta Air Lines,ORD,"Chicago, IL: Chicago O'Hare International",490.0,133.0,30.82,1.32,81.14,0.0,19.72,5.0,1.0,5995.0,1281.0,46.0,3628.0,0.0,1040.0,41.979595,-87.90446417,1
392,2003,6,DL,Delta Air Lines,PDX,"Portland, OR: Portland International",360.0,59.0,20.59,0.86,30.17,0.0,7.38,0.0,2.0,2086.0,1138.0,51.0,708.0,0.0,189.0,45.58872222,-122.5975,1
407,2003,6,DL,Delta Air Lines,SEA,"Seattle, WA: Seattle/Tacoma International",480.0,84.0,25.69,3.09,33.96,0.0,21.26,0.0,0.0,3744.0,978.0,164.0,1023.0,0.0,1579.0,47.44898194,-122.3093131,1
411,2003,6,DL,Delta Air Lines,SLC,"Salt Lake City, UT: Salt Lake City International",3466.0,454.0,121.15,7.61,221.91,1.0,102.33,9.0,0.0,16853.0,5384.0,306.0,5686.0,28.0,5449.0,40.78838778,-111.9777731,1
571,2003,6,HP,America West Airlines,CMH,"Columbus, OH: Port Columbus International",120.0,26.0,11.2,0.0,11.06,0.0,3.74,0.0,1.0,1329.0,763.0,0.0,289.0,0.0,277.0,39.99798528,-82.89188278,1
600,2003,6,HP,America West Airlines,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",5801.0,663.0,196.94,5.75,335.18,12.97,112.15,14.0,3.0,28951.0,12987.0,479.0,8252.0,395.0,6838.0,33.43416667,-112.0080556,1
712,2003,6,NW,Northwest Airlines,ANC,"Anchorage, AK: Ted Stevens Anchorage International",165.0,28.0,16.05,0.19,10.38,0.0,1.38,0.0,0.0,1117.0,750.0,7.0,279.0,0.0,81.0,61.17432028,-149.9961856,1
737,2003,6,NW,Northwest Airlines,DTW,"Detroit, MI: Detroit Metro Wayne County",9229.0,1005.0,255.2,49.69,432.73,5.26,262.12,112.0,5.0,43716.0,16249.0,2249.0,12175.0,120.0,12923.0,42.21205889,-83.34883583,1
771,2003,6,NW,Northwest Airlines,MEM,"Memphis, TN: Memphis International",2692.0,338.0,102.77,20.55,165.66,3.09,45.93,22.0,1.0,14320.0,6342.0,815.0,4759.0,193.0,2211.0,35.04241667,-89.97666667,1
778,2003,6,NW,Northwest Airlines,MSP,"Minneapolis, MN: Minneapolis-St Paul International",9607.0,1211.0,301.54,85.02,547.12,9.4,267.92,81.0,8.0,59368.0,22001.0,5007.0,16147.0,528.0,15685.0,44.88054694,-93.2169225,1
